query,query_type,drug,severity_filter,ground_truth,num_results
Show moderate reactions to ropivacaine,severity_filtered,ropivacaine,moderate,"['hypersensitivity', 'oedema peripheral', 'depression', 'hypokinesia', 'hypomagnesaemia', 'breast disorder', 'dermatitis', 'meningitis', 'injection site reaction', 'injection site pain', 'hypoglycaemia neonatal', 'postpartum haemorrhage', 'musculoskeletal discomfort', 'loss of consciousness', 'pulmonary embolism', 'respiratory depression', 'dyskinesia', 'postoperative complications nos', 'hypocalcaemia', 'neonatal tachypnoea', 'paresis', 'jaundice', 'cns toxicity', 'hypoaesthesia', 'angioedema', 'chills', ""horner's syndrome"", 'total spinal block', 'application site reaction', 'dyspnoea', 'arachnoiditis', 'laryngeal oedema', 'enlargement abdomen', 'rales', 'vasospasm', 'hypertension', 'acute coronary syndrome', 'hypotonia', 'oliguria', 'blood creatine phosphokinase increased', 'aspartate aminotransferase increased', 'extrasystoles', 'foetal acidosis', 'nervousness', 'neuropathy', 'sweating increased', 'metabolic disorder', 'muscle twitching', 'neurologic reaction', 'central nervous system stimulation', 'ill-defined disorder', 'vision blurred', 'needle injury', 'gastrointestinal pain', 'vascular purpura', 'uterine atony', 'apnoea', 'mental disorder', 'urine analysis abnormal', 'rigors', 'affect lability', 'neurological symptom', 'vertigo', 'faecal incontinence', 'unexpected therapeutic effect', 'drowsiness', 'atelectasis', 'body temperature increased', 'vomiting neonatal', 'muscle spasms', 'confusional state', 'jaundice neonatal', 'abnormal labour', 'cardiac disorder', 'muscle relaxant therapy', 'sneezing', 'laryngospasm', 'agitation', 'erythema', 'thrombocytopenia', 'ventricular arrhythmia', 'hypoproteinaemia', 'asthenia', 'arthralgia', 'excitement', 'dyspepsia', 'hypercapnia', 'thrombocytosis', 'hyperglycaemia', 'orthostatic hypotension', 'apgar score low', 'skin disorder', 'mood swings', 'anorectal discomfort', 'stupor', 'pyuria', 'haematuria', 'post procedural complication', 'bronchospasm', 'rhinitis', 'depressed level of consciousness', 'uterine hypotonus', 'respiratory disorder neonatal', 'injury associated with device', 'pain', 'prothrombin level decreased', 'ileus', 'myalgia', 'arrhythmia', 'hypotension', 'sepsis neonatal', 'urinary retention', 'cramp muscle', 'hypoxia', 'dysarthria', 'infection', 'cns depression nos', 'foetal distress syndrome', 'cough', 'anterior spinal artery syndrome', 'amnesia', 'urinary tract infection', 'micturition disorder', 'anxiety', 'tinnitus', 'leukocytosis', 'somnolence', 'body temperature decreased', 'cardiac output decreased', 'hypoglycaemia', 'tremor', 'paraesthesia', 'urine abnormality', 'hepatic function abnormal', 'grand mal convulsion', 'atrioventricular block', 'excitation cerebral', 'purpura', 'spinal anaesthesia', 'abdominal distension', 'hyperkalaemia', 'neuropathy peripheral', 'blood urea decreased', 'block heart', 'urinary tract disorder', 'respiratory arrest', 'chest pain', 'tension', 'albuminuria', 'injection site inflammation', 'cauda equina syndrome', 'blood alkaline phosphatase increased', 'phlebitis', 'vomiting', 'deep vein thrombosis', 'hypokalaemia', 'urethral disorder', 'extradural abscess', 'shock', 'alanine aminotransferase increased', 'respiratory insufficiency', 'hypothermia', 'osteoarthritis', 'hyperhidrosis', 'pneumothorax', 'phosphatase alkaline increased', 'electrocardiogram st segment', 'dysuria', 'urticaria', 'creatine phosphokinase increased', 'pulmonary function test decreased', 'acidosis', 'anaemia', 'spinal haematoma', 'heart malformation', 'pleural effusion', 'miosis', 'proctalgia', 'therapeutic response unexpected', 'breast feeding', 'prolonged labour', 'urinary incontinence', 'feeling abnormal', 'discomfort', 'neonatal infection', 'syncope', 'meningism', 'muscle rigidity', 'tachypnoea', 'heart disease congenital', 'carbon dioxide increased', 'back pain', 'ventricular fibrillation', 'rectal tenesmus', 'fever neonatal', 'laboratory test abnormal', 'neurotoxicity', 'hallucination', 'nightmare', 'malaise', 'convulsion', 'atrial fibrillation', 'diarrhoea', 'abdominal pain']",204
What mild moderate side effects does ropivacaine cause?,severity_filtered,ropivacaine,mild_moderate,"['tachycardia foetal', 'bradycardia foetal', 'bradycardia', 'tachycardia', 'ventricular tachycardia']",5
Show mild reactions to ropivacaine,severity_filtered,ropivacaine,mild,"['dizziness', 'pruritus', 'headache', 'constipation', 'rash', 'nausea', 'insomnia']",7
What life threatening side effects does argenine cause?,severity_filtered,argenine,life_threatening,['anaphylactic shock'],1
Show severe reactions to argenine,severity_filtered,argenine,severe,['cardiac arrest'],1
Show moderate reactions to argenine,severity_filtered,argenine,moderate,"['hypersensitivity', 'abdominal cramps', 'vomiting', 'myocardial ischaemia', 'shock', 'vertigo', 'hyperhidrosis', 'pallor', 'urticaria', 'vasoconstriction', 'tremor', 'cardiac output decreased', 'sweating', 'bronchoconstriction', 'bronchospasm', 'angina pectoris', 'gangrene', 'vasoconstriction peripheral', 'abdominal pain', 'arrhythmia']",20
Find all mild toxicities of argenine,severity_filtered,argenine,mild,['nausea'],1
List life threatening adverse events of ly146032,severity_filtered,ly146032,life_threatening,"['anaphylactic shock', 'coma', 'stevens-johnson syndrome']",3
Show severe reactions to ly146032,severity_filtered,ly146032,severe,"['rhabdomyolysis', 'cardiac arrest']",2
Find all moderate severe toxicities of ly146032,severity_filtered,ly146032,moderate_severe,['alcoholic pancreatitis'],1
Show moderate reactions to ly146032,severity_filtered,ly146032,moderate,"['hypersensitivity', 'arrhythmia supraventricular', 'miliaria rubra', 'oedema peripheral', 'fungaemia', 'hypomagnesaemia', 'renal failure acute', 'breast disorder', 'cardiac failure', 'gastrointestinal haemorrhage', 'miliaria', 'dermatitis', 'injection site reaction', 'mediastinitis', 'musculoskeletal discomfort', 'loss of consciousness', 'dyskinesia', 'jaundice', 'infusion site reaction', 'angioedema', 'chills', 'abdominal bloating', 'staphylococcus aureus bacteremia', 'hypoaesthesia oral', 'dyspnoea', 'hypertension', 'gastrointestinal disorder', 'eosinophilic pneumonia', 'dysgeusia', 'pharyngolaryngeal pain', 'myopathy', 'wheezing', 'blood creatine phosphokinase increased', 'aspartate aminotransferase increased', 'extrasystoles', 'sweating increased', 'nervousness', 'ear and labyrinth disorders', 'limb paresis', 'liver function test abnormal', 'vision blurred', 'loose stools', 'serum creatinine increased', 'gastrointestinal pain', 'blood creatinine increased', 'flushing', 'feeling jittery', 'mental disorder', 'rigors', 'atrial flutter', 'vertigo', 'oropharyngeal swelling', 'glossitis', 'hepatobiliary disease', 'infestation nos', 'body temperature increased', 'blood phosphorus increased', 'muscle spasms', 'confusional state', 'cardiac disorder', 'lymphatic disorder', 'erythema', 'thrombocytopenia', 'lymphadenopathy', 'asthenia', 'monoparesis', 'musculoskeletal disorder', 'prothrombin level increased', 'arthralgia', 'eosinophilia', 'dyspepsia', 'thrombocytosis', 'hyperglycaemia', 'malnutrition', 'skin disorder', 'cellulitis', 'infusion site reactions', 'candida infection', 'angiopathy', 'staphylococcal infection', 'blood and lymphatic system disorders', 'injection site erythema', 'vulvovaginal candidiasis', 'pain', 'myalgia', 'serum bicarbonate increased', 'lactic dehydrogenase activity increased', 'hypotension', 'drug interaction', 'sepsis', 'renal impairment', 'infestation', 'cramp muscle', 'blood bicarbonate increased', 'infection', 'cough', 'epigastric discomfort', 'dysphagia', 'eczema', 'function kidney decreased', 'unspecified disorder of skin and subcutaneous tissue', 'urinary tract infection', 'anxiety', 'tinnitus', 'leukocytosis', 'electrolyte imbalance', 'hypoglycaemia', 'tremor', 'paraesthesia', 'eye disorder', 'flatulence', 'pain in extremity', 'abdominal distension', 'hyperkalaemia', 'neuropathy peripheral', 'urosepsis', 'decreased appetite', 'oral candidiasis', 'urinary tract disorder', 'transaminases increased', 'chest pain', 'blood lactate dehydrogenase increased', 'protein urine present', 'nervous system disorder', 'fungal infection', 'pneumonia', 'blood alkaline phosphatase increased', 'oropharyngeal pain', 'urinary tract infection fungal', 'vomiting', 'hypokalaemia', 'urethral disorder', 'shock', 'alanine aminotransferase increased', 'osteomyelitis', 'vaginal moniliasis', 'cholangitis', 'mediastinal disorder', 'immune system disorder', 'erythema multiforme', 'methicillin-resistant staphylococcus aureus infection', 'stomatitis', 'hyperhidrosis', 'drug eruption', 'oedema', 'phosphatase alkaline increased', 'taste metallic', 'urticaria', 'creatine phosphokinase increased', 'oropharyngeal discomfort', 'myositis', 'laryngeal pain', 'anaemia', 'international normalised ratio increased', 'pleural effusion', 'pulmonary eosinophilia', 'vaginal infection', 'dermatitis bullous', 'gingival pain', 'bone disorder', 'vaginal inflammation', 'feeling abnormal', 'vulvovaginal mycotic infection', 'discomfort', 'syncope', 'throat sore', 'bacteraemia', 'back pain', 'connective tissue disorder', ""crohn's disease"", 'muscular weakness', 'hallucination', 'intestinal infarction', 'taste disorders', 'eye irritation', 'staphylococcal bacteraemia', 'atrial fibrillation', 'diarrhoea', 'renal failure', 'abdominal pain']",180
Show mild moderate reactions to ly146032,severity_filtered,ly146032,mild_moderate,"['proteinuria', 'supraventricular tachycardia', 'tachycardia']",3
List mild adverse events of ly146032,severity_filtered,ly146032,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'vesiculobullous rash', 'constipation', 'rash', 'pruritus generalised', 'rash vesicular', 'rash pustular', 'nausea', 'dry mouth', 'insomnia']",13
What life threatening side effects does duloxetine cause?,severity_filtered,duloxetine,life_threatening,"['anaphylactic shock', 'glaucoma', 'stevens-johnson syndrome', 'angle closure glaucoma']",4
Find all severe toxicities of duloxetine,severity_filtered,duloxetine,severe,"['rhabdomyolysis', 'myocardial infarction']",2
What moderate severe side effects does duloxetine cause?,severity_filtered,duloxetine,moderate_severe,"['pancreatitis', 'hepatotoxicity']",2
Show moderate reactions to duloxetine,severity_filtered,duloxetine,moderate,"['upper respiratory tract infection', 'rhinitis seasonal', 'oedema peripheral', 'eructation', 'gastrointestinal haemorrhage', 'gait disturbance', 'syndrome sicca', 'blood triglycerides increased', 'influenza like illness', 'hypertension', 'endocrine disorder', 'dysgeusia', 'low back pain', 'sleep disturbance', 'ill-defined disorder', 'flushing', 'visual disturbance', 'restless legs syndrome', 'aggression', 'infestation nos', 'agitation', 'thrombocytopenia', 'systolic hypertension', 'palpitations', 'muscle tightness', 'dyspepsia', 'maculopathy', 'malnutrition', 'extrapyramidal symptoms', 'blood pressure systolic increased', ""sjogren's syndrome"", 'blood pressure diastolic increased', 'mood swings', 'irritability', 'blood and lymphatic system disorders', 'liver injury', 'pain', 'skin ulcer', 'urinary retention', 'infestation', 'dysarthria', 'cough', 'eczema', 'seasonal allergy', 'unspecified disorder of skin and subcutaneous tissue', 'neck pain', 'inappropriate antidiuretic hormone secretion', 'tinnitus', 'gingivitis', 'eye disorder', 'flatulence', 'hypertriglyceridaemia', 'gamma-glutamyltransferase increased', 'decreased appetite', 'blood pressure diastolic decreased', 'tension', 'oropharyngeal pain', 'laryngitis', 'diastolic hypertension', 'hyperlipidaemia', 'poor quality sleep', 'alanine aminotransferase increased', 'akathisia', 'hyperhidrosis', 'creatine phosphokinase increased', 'anaemia', 'hypercholesterolaemia', 'conjunctivitis', 'muscular weakness', 'malaise', 'dermatitis contact', 'convulsion', 'cardiac failure congestive', 'retinal detachment', 'gastric ulcer', 'glycosylated haemoglobin increased', 'melaena', 'musculoskeletal discomfort', 'blood disorder', 'jaundice', 'serotonin syndrome', 'angioedema', 'cardiac fibrillation', 'suicidal behaviour', 'hyponatraemia', 'ear and labyrinth disorders', 'oliguria', 'urine output increased', 'dermatitis exfoliative', 'muscle twitching', 'liver function test abnormal', 'loose stools', 'blood creatinine increased', 'oesophageal stenosis acquired', 'nocturia', 'face oedema', 'oropharyngeal swelling', 'pharyngeal oedema', 'muscle spasms', 'confusional state', 'nasopharyngitis', 'orthostatic hypertension', 'musculoskeletal stiffness', 'erythema', 'sleep disorder', 'hepatic steatosis', 'lymphadenopathy', 'myoclonus', 'urine odour abnormal', 'hemorrhage abnormal', 'feeling hot', 'pollakiuria', 'abnormal dreams', 'trismus', 'hyperglycaemia', 'drug withdrawal syndrome', 'angiopathy', 'genital hypoaesthesia', 'haemoglobin', 'hyperprolactinaemia', 'leukopenia', 'myalgia', 'pressure of speech', 'weight decreased', 'epigastric discomfort', 'orgasm abnormal', 'macular degeneration', 'tremor', 'acute liver injury', 'blood potassium increased', 'ejaculation delayed', 'functional gastrointestinal disorder', 'pain in extremity', 'galactorrhoea', 'diverticulitis', 'aphthous stomatitis', 'blood in stool', 'mydriasis', 'ecchymosis', 'hepatic failure', 'urethral disorder', 'upset stomach', 'photosensitivity reaction', 'osteoarthritis', 'secondary hypertension', 'pharyngitis', 'blood cholesterol increased', 'breath odour', 'traumatic liver injury', 'feeling abnormal', 'essential hypertension', 'urinary hesitation', 'flat affect', 'hallucination', 'mania', 'completed suicide', 'atrial fibrillation', 'renal failure', 'hypersensitivity', 'arrhythmia supraventricular', 'menopausal symptoms', 'anger', 'breast disorder', 'diplopia', 'nephropathy', 'weight increased', 'hypoaesthesia', 'chills', 'acute coronary syndrome', 'gastrointestinal disorder', 'pharyngolaryngeal pain', 'sweating increased', 'blood creatine phosphokinase increased', 'aspartate aminotransferase increased', 'nervousness', 'viral diarrhoea', 'feeling jittery', 'erectile dysfunction', 'body temperature increased', 'cardiac disorder', 'arthralgia', 'testicular pain', 'urine flow decreased', 'skin disorder', 'prurigo', 'sluggishness', 'penis disorder', 'visual impairment', 'bruxism', 'renal impairment', 'cramp muscle', 'loss of libido', 'dysphagia', 'haematochezia', 'anorgasmia', 'anxiety', 'extrapyramidal disorder', 'somnolence', 'paraesthesia', 'ear pain', 'polyuria', 'haemorrhage', 'epistaxis', 'abdominal discomfort', 'urinary tract disorder', 'mediastinal disorder', 'immune system disorder', 'oedema', 'urticaria', 'thirst', 'disorientation', 'blood glucose increased', 'ejaculation failure', 'syncope', 'menstrual disorder', 'electric shock', 'hypothyroidism', 'withdrawal symptom', 'connective tissue disorder', 'back pain', 'musculoskeletal pain', 'peripheral coldness', 'irritable bowel syndrome', 'disturbance in sexual arousal', 'hyperkeratosis', 'labile hypertension', 'abdominal pain', 'abdominal pain upper', 'dry eye', 'cardiac failure', 'dermatitis', 'oesophageal stenosis', 'loss of consciousness', 'dyskinesia', 'anorexia', 'micturition urgency', 'impaired gastric emptying', 'ataxia', 'dehydration', 'hypertensive crisis', 'diabetic', 'suicidal ideation', 'vision blurred', 'gastrointestinal pain', 'disturbance in attention', 'mental disorder', 'rigors', 'affect lability', 'vertigo', 'coordination abnormal', 'hepatobiliary disease', 'lethargy', 'cold sweat', 'diabetes mellitus', 'ventricular arrhythmia', 'asthenia', 'night sweats', 'hepatitis', 'throat tightness', 'orthostatic hypotension', 'abdominal tenderness', 'dyslipidaemia', 'bundle branch block right', 'blood pressure increased', 'arrhythmia', 'suicide attempt', 'apathy', 'infection', 'increased tendency to bruise', 'hypoaesthesia facial', 'colitis', 'influenza', 'paraesthesia oral', 'urinary tract infection', 'photopsia', 'hypoglycaemia', 'abdominal pain lower', 'fasting blood glucose increased', 'white blood cell count increased', 'libido decreased', 'chest pain', 'alopecia', 'nervous system disorder', 'blood alkaline phosphatase increased', 'phlebitis', 'vomiting', 'increased appetite', 'shock', 'haemorrhagic disorder', 'erythema multiforme', 'stomatitis', 'phosphatase alkaline increased', 'dysuria', 'gastric irritation', 'coronary artery disease', 'laryngeal pain', 'hepatic enzyme increased', 'gastritis', 'blood bilirubin increased', 'contusion', 'migraine', 'urinary incontinence', 'yawning', 'discomfort', 'hot flush', 'sexual dysfunction', 'ejaculation disorder', 'hypersomnia', 'gastroenteritis', 'nightmare', 'diarrhoea']",311
List mild moderate adverse events of duloxetine,severity_filtered,duloxetine,mild_moderate,"['supraventricular tachycardia', 'tachycardia']",2
List mild adverse events of duloxetine,severity_filtered,duloxetine,mild,"['dizziness', 'pruritus', 'headache', 'terminal insomnia', 'rash erythematous', 'fatigue', 'initial insomnia', 'constipation', 'rash', 'middle insomnia', 'nausea', 'dry mouth', 'insomnia']",13
Find all life threatening toxicities of salmon,severity_filtered,salmon,life_threatening,"['anaphylactic shock', 'glaucoma', 'anaphylactoid reaction']",3
List severe adverse events of salmon,severity_filtered,salmon,severe,['myocardial infarction'],1
What moderate side effects does salmon cause?,severity_filtered,salmon,moderate,"['hypersensitivity', 'upper respiratory tract infection', 'diuresis', 'nasal mucosal disorder', 'menopausal symptoms', 'dysphonia', 'lacrimation abnormal nos', 'oedema peripheral', 'nasal mucosal erythema', 'hearing impaired', 'depression', 'dermatitis', 'injection site reaction', 'tingling sensation', 'musculoskeletal discomfort', 'loss of consciousness', 'weight increased', 'anorexia', 'hypocalcaemia', 'chills', 'dyspnoea', 'influenza like illness', 'polymyalgia rheumatica', 'tetany', 'rales', 'hypertension', 'gastrointestinal disorder', 'acute coronary syndrome', 'dysgeusia', 'sweating increased', 'urine output increased', 'disorder sight', 'muscle twitching', 'cardiovascular disorder', 'vision blurred', 'gastrointestinal pain', 'vascular purpura', 'flushing', 'nephrolithiasis', 'visual disturbance', 'nocturia', 'cataract', 'vertigo', 'infestation nos', 'body temperature increased', 'tongue oedema', 'calculus of kidney', 'muscle spasms', 'sneezing', 'ageusia', 'agitation', 'erythema', 'musculoskeletal stiffness', 'wound haemorrhage', 'lymphadenopathy', 'asthenia', 'palpitations', 'arthralgia', 'hyperthyroidism', 'dyspepsia', 'hepatitis', 'feeling hot', 'urogenital disorder', 'redness', 'neuralgia', 'sinusitis', 'malnutrition', 'basal cell carcinoma', 'skin disorder', 'nasal dryness', 'ear disorder', 'angiopathy', 'haematuria', 'sensation of heat', 'bronchospasm', 'rhinitis', 'cystitis', 'angina pectoris', 'leg pain', 'pain', 'vestibular disorder', 'myalgia', 'arrhythmia', 'bundle branch block', 'visual impairment', 'periorbital oedema', 'blood calcium decreased', 'hypotension', 'skin ulcer', 'infestation', 'cramp muscle', 'thrombophlebitis', 'tongue disorder', 'infection', 'bladder pain', 'cough', 'eczema', 'influenza', 'unspecified disorder of skin and subcutaneous tissue', 'nasal septum ulceration', 'anxiety', 'tinnitus', 'somnolence', 'tremor', 'nasal discomfort', 'paraesthesia', 'scab', 'taste salty', 'ear pain', 'eye disorder', 'flatulence', 'tenderness', 'arthropathy', 'purpura', 'pain in extremity', 'polyuria', 'arthritis', 'nasal irritation', 'decreased appetite', 'serum calcium decreased', 'epistaxis', 'rhinitis ulcerative', 'stiffness', 'urinary tract disorder', 'breath sounds abnormal', 'chest pain', 'vitreous floaters', 'fracture', 'pyelonephritis', 'alopecia', 'neoplasm malignant', 'nervous system disorder', 'pneumonia', 'rhinitis allergic', 'vomiting', 'nasal oedema', 'increased appetite', 'urethral disorder', 'goitre', 'shock', 'mucosal excoriation', 'congenital eye disorder', 'hyperparathyroidism secondary', 'cerebrovascular accident', 'cystitis noninfective', 'mediastinal disorder', 'immune system disorder', 'dry skin', 'nasal odour', 'osteoarthritis', 'nasal congestion', 'oedema', 'taste metallic', 'hyperhidrosis', 'parosmia', 'pallor', 'urticaria', 'deafness', 'gastritis', 'anaemia', 'thirst', 'pharyngitis', 'conjunctivitis', 'migraine', 'antibody test positive', 'injury', 'nasal polyps', 'abnormal chest sounds nos', 'influenza-like symptoms', 'hot flush', 'foot edema', 'syncope', 'excoriation', 'osteoporotic fracture', 'cholelithiasis', 'local swelling', 'connective tissue disorder', 'back pain', 'musculoskeletal pain', 'lacrimal disorder', 'swollen tongue', 'bronchitis', 'convulsion', 'diarrhoea', 'abdominal pain', 'multiple fractures', 'trauma']",187
