query,query_type,drug,ground_truth_side_effects,num_side_effects
What are the side effects of belinostat?,reverse,belinostat,"['diarrhoea', 'creatinine increased', 'body temperature increased', 'pneumonia', 'gastrointestinal pain', 'asthenia', 'tumour lysis syndrome', 'cough', 'nausea', 'dermatitis', 'hypokalaemia', 'rash', 'gastrointestinal toxicity', 'infection', 'oedema peripheral', 'blood creatinine increased', 'hepatotoxicity', 'chills', 'thrombocytopenia', 'decreased appetite', 'dyspnoea', 'headache', 'dizziness', 'hypotension', 'constipation', 'febrile neutropenia', 'hyperlactacidaemia', 'fatigue', 'ventricular fibrillation', 'hepatic failure', 'neoplasm malignant', 'abdominal pain', 'pruritus', 'multi-organ failure', 'electrocardiogram qt prolonged', 'phlebitis', 'electrocardiogram qt corrected interval prolonged', 'vomiting', 'anaemia', 'infusion site pain']",40
What are the side effects of monoethanolamine?,reverse,monoethanolamine,"['pleural effusion', 'body temperature increased', 'pain', 'oesophageal stenosis', 'abscess', 'pneumonia', 'anaphylactic shock', 'ulcer', 'bacteraemia', 'varicose vein', 'lacrimation increased', 'lacrimation', 'chest pain', 'renal failure acute', 'oesophageal ulcer', 'necrosis', 'disseminated intravascular coagulation', 'pneumonia aspiration', 'retrosternal pain', 'spinal cord paralysis', 'oesophagitis']",21
What are the side effects of doripenem?,reverse,doripenem,"['diarrhoea', 'blood and lymphatic system disorders', 'nervous system disorder', 'pneumonia', 'anaphylactic shock', 'leukopenia', 'interstitial lung disease', 'gastrointestinal disorder', 'nausea', 'necrolysis epidermal', 'dermatitis', 'hepatic enzyme increased', 'convulsion', 'clostridium difficile colitis', 'rash', 'erythema multiforme', 'infection', 'immune system disorder', 'thrombocytopenia toxic', 'colitis', 'oral candidiasis', 'thrombocytopenia', 'skin disorder', 'headache', 'interstitial pneumonia', 'unspecified disorder of skin and subcutaneous tissue', 'angiopathy', 'drug interaction', 'pruritus', 'toxic epidermal necrolysis', 'hypersensitivity', 'phlebitis', 'hepatobiliary disease', 'infestation nos', 'infestation', 'candida infection', 'stevens-johnson syndrome', 'anaemia', 'neutropenia']",39
List all side effects of irinotecan,reverse,irinotecan,"['colon cancer', 'sickness', 'somnolence', 'ulcer', 'gastrointestinal pain', 'anorectal disorder', 'gastrointestinal disorder', 'cough', 'hand rash', 'dermatitis', 'hypokalaemia', 'phosphatase alkaline increased', 'salivary hypersecretion', 'hypotension orthostatic symptomatic', 'paraesthesia', 'syncope', 'blacked-out (not amnesia)', 'megacolon', 'mucosal inflammation', 'cardiac arrest', 'colitis', 'thrombophlebitis', 'colitis ischaemic', 'speech disorder', 'renal failure', 'blood bilirubin abnormal', 'hyperhidrosis', 'chills', 'decreased appetite', 'hyperbilirubinaemia', 'headache', 'serum creatinine increased', 'angiopathy', 'febrile neutropenia', 'weight decreased', 'renal impairment', 'hand and foot syndrome secondary to sickle cell anaemia', 'neutropenic enterocolitis', 'neoplasm malignant', 'gastrointestinal haemorrhage', 'ileus', 'anorexia', 'vertigo', 'visual impairment', 'hypertension', 'oedema', 'shock', 'anaemia', 'upper respiratory tract infection', 'diarrhoea', 'pain', 'pancreatitis', 'akathisia', 'toxicity to various agents', 'anaphylactic shock', 'abdominal cramps', 'discomfort', 'mediastinal disorder', 'hypomagnesaemia', 'thrombosis', 'jaundice', 'colitis ulcerative', 'proctocolitis', 'pulmonary embolism', 'cerebrovascular accident', 'thromboembolic event', 'lipase increased', 'alopecia', 'immune system disorder', 'lacrimation', 'neoplasm', 'blood creatinine increased', 'anaphylactoid reaction', 'lung disorder', 'cholinergic syndrome', 'flatulence', 'hypotension', 'angina pectoris', 'haemoglobin', 'myocardial ischaemia', 'constipation', 'blood alkaline phosphatase increased', 'arrhythmia', 'extravasation', 'fatigue', 'neutropenic colitis', 'neutropenic sepsis', 'rhinitis', 'frequent bowel movements', 'lung neoplasm', 'flushing', 'miosis', 'cough increased', 'gait disturbance', 'acute coronary syndrome', 'sweating increased', 'electrolyte imbalance', 'palmar-plantar erythrodysaesthesia syndrome', 'hypersensitivity', 'hepatomegaly', 'hyponatraemia', 'enlargement abdomen', 'ill-defined disorder', 'lung cancer metastatic', 'vomiting', 'ischaemia', 'hypovolaemia', 'body temperature increased', 'pneumonia', 'acute leukaemia', 'cardiac disorder', 'hiccups', 'asthenia', 'cramp muscle', 'muscle spasms', 'sudden death', 'nausea', 'metastases to liver', 'hepatic cancer metastatic', 'dyspepsia', 'aspartate aminotransferase increased', 'peripheral embolism', 'loss of consciousness', 'intestinal obstruction', 'dehydration', 'embolism', 'dysarthria', 'neutropenic infection', 'salivation', 'blood bilirubin increased', 'dyspnoea', 'dizziness', 'megacolon toxic', 'haemorrhage', 'vasodilation', 'sepsis', 'abdominal pain', 'osteoarthritis', 'lymphopenia', 'myocardial infarction', 'insomnia', 'sweating', 'caecitis', 'neutropenia', 'lung infiltration', 'confusional state', 'cerebral infarction', 'arterial thrombosis', 'nervous system disorder', 'dermatitis exfoliative', 'leukopenia', 'genetic polymorphism', 'hypokinesia', 'tumour lysis syndrome', 'peripheral vascular disorder', 'lacrimation increased', 'feeling abnormal', 'rash', 'connective tissue disorder', 'abdominal distension', 'infection', 'vasodilation procedure', 'injury', 'renal failure acute', 'thrombocytopenia', 'bradycardia', 'orthostatic hypotension', 'stomatitis', 'malaise', 'rectal disorder', 'visual disturbance', 'bilirubin abnormal', 'piloerection', 'back pain', 'embolus leg', 'accidental injury', 'intestinal perforation']",177
Show me side effects associated with fp-cit,reverse,fp-cit,"['injection site pain', 'ear and labyrinth disorders', 'headache', 'dizziness', 'pain', 'formication', 'nervous system disorder', 'paraesthesia', 'vertigo', 'immune system disorder', 'hypersensitivity', 'dry mouth', 'gastrointestinal disorder', 'increased appetite', 'malnutrition', 'nausea', 'dysgeusia', 'neoplasm malignant']",18
What adverse events does thioridazine cause?,reverse,thioridazine,"['choreoathetosis', 'somnolence', 'ventricular arrhythmia', 'multifocal ventricular tachycardia', 'tremor', 'menstruation irregular', 'dermatitis', 'psychotic disorder', 'priapism', 'agitation', 'electrocardiogram u wave present', 'cardiac arrest', 'weight increased', 'pulse irregular', 'hyperhidrosis', 'decreased appetite', 'photosensitivity reaction', 'headache', 'anorexia', 'ventricular tachycardia', 'oculogyric crisis', 'extrapyramidal symptoms', 'nasal congestion', 'oedema', 'anaemia', 'diarrhoea', 'autonomic nervous system imbalance', 'akathisia', 'blood disorder', 'vision blurred', 'jaundice', 'dystonic reaction', 'pancytopenia', 'torticollis', 'torsade de pointes', 'electrocardiogram u-wave abnormality', 'opisthotonus', 'neuroleptic malignant syndrome', 'parotid gland enlargement', 'hypotension', 'obstipation', 'gynaecomastia', 'constipation', 'pseudoparkinsonism', 'arrhythmia', 'abnormal dreams', 'miosis', 'sweating increased', 'hypersensitivity', 'breast engorgement', 'pregnancy test false positive', 'vomiting', 'trismus', 'lethargy', 'body temperature increased', 'asthma', 'parotid swelling', 'sudden death', 'nausea', 'choreoathetoid movements', 'tardive dyskinesia', 'parkinsonism', 'angioedema', 'motor restlessness', 'dystonia', 'hepatotoxicity', 'systemic lupus erythematosus', 'eruption', 'hyperpyrexia', 'dermatitis contact', 'aplastic anaemia', 'akinesia', 'pallor', 'excitement', 'tachycardia', 'ileus paralytic', 'confusional state', 'mental disorder', 'extrapyramidal disorder', 'laryngeal oedema', 'dermatitis exfoliative', 'leukopenia', 'cholestasis', 'heart rate irregular', 'bizarre dreams', 'feeling abnormal', 'rash', 'incontinence', 'oedema peripheral', 'agranulocytosis', 'drowsiness', 'amenorrhoea', 'eosinophilia', 'thrombocytopenia', 'erythema', 'galactorrhoea', 'nocturnal confusion', 'mental state abnormal', 'hyperkinesia', 'muscle rigidity', 'photosensitivity']",101
Show me side effects associated with quinaprilat,reverse,quinaprilat,"['diarrhoea', 'hepatitis', 'vomiting', 'somnolence', 'dermatomyositis', 'laryngeal oedema', 'pancreatitis', 'anaphylactic shock', 'gastrointestinal pain', 'dermatitis exfoliative', 'myalgia', 'pulmonary eosinophilia', 'discomfort', 'asthenia', 'cough', 'tension', 'ill-defined disorder', 'nausea', 'dermatitis', 'dry mouth', 'feeling abnormal', 'rash', 'pharyngitis', 'cerebrovascular accident', 'dyspepsia', 'paraesthesia', 'syncope', 'alopecia', 'hypertensive crisis', 'amblyopia', 'angioedema', 'chest pain', 'loss of consciousness', 'vasodilation procedure', 'arthralgia', 'renal failure acute', 'renal failure', 'palpitations', 'agranulocytosis', 'pemphigus', 'cardiogenic shock', 'anaphylactoid reaction', 'hyperhidrosis', 'thrombocytopenia', 'haemolytic anaemia', 'musculoskeletal discomfort', 'dyspnoea', 'flatulence', 'dizziness', 'headache', 'orthostatic hypotension', 'urinary tract infection', 'liver function test abnormal', 'photosensitivity reaction', 'angina pectoris', 'malaise', 'erectile dysfunction', 'constipation', 'arrhythmia', 'nervousness', 'viral infection', 'fatigue', 'back pain', 'vasodilation', 'gastrointestinal haemorrhage', 'abdominal pain', 'pruritus', 'vertigo', 'sweating increased', 'hyperkalaemia', 'insomnia', 'oedema', 'blood urea increased', 'shock', 'tachycardia']",75
List all side effects of carbinoxamine,reverse,carbinoxamine,"['diarrhoea', 'confusional state', 'vomiting', 'somnolence', 'neuritis', 'tremor', 'asthenia', 'urinary retention', 'diplopia', 'tension', 'hysteria', 'nausea', 'euphoric mood', 'vision blurred', 'feeling abnormal', 'convulsion', 'wheezing', 'agitation', 'chest discomfort', 'paraesthesia', 'dyspepsia', 'palpitations', 'agranulocytosis', 'drowsiness', 'chest tightness', 'chills', 'hyperhidrosis', 'thrombocytopenia', 'decreased appetite', 'haemolytic anaemia', 'photosensitivity reaction', 'headache', 'dizziness', 'extrasystoles', 'hypotension', 'pollakiuria', 'urticaria', 'constipation', 'labyrinthitis', 'drug eruption', 'irritability', 'nervousness', 'fatigue', 'neuropathy peripheral', 'anorexia', 'conversion disorder', 'epigastric distress', 'photosensitivity', 'vertigo', 'sweating increased', 'insomnia', 'tinnitus', 'nasal congestion', 'tachycardia']",54
What adverse events does emedastine cause?,reverse,emedastine,"['mental disorder', 'pain', 'nervous system disorder', 'corneal staining', 'endophthalmitis', 'sinusitis', 'discomfort', 'cardiac disorder', 'asthenia', 'vision blurred', 'sinus headache', 'lacrimation increased', 'dermatitis', 'corneal infiltrates', 'bad taste', 'rash', 'dysgeusia', 'eye pain', 'lacrimation', 'foreign body sensation in eyes', 'eye disorder', 'vital dye staining cornea present', 'conjunctival hyperaemia', 'skin disorder', 'headache', 'eye pruritus', 'unspecified disorder of skin and subcutaneous tissue', 'sensation of foreign body', 'asthenopia', 'dry eye', 'stinging', 'eye irritation', 'ocular hyperaemia', 'abnormal dreams', 'rhinitis', 'pruritus', 'keratitis', 'tachycardia', 'hyperaemia']",39
Show me side effects associated with tamsulosin,reverse,tamsulosin,"['somnolence', 'nasal obstruction', 'gastrointestinal pain', 'myalgia', 'gastrointestinal disorder', 'cough', 'dermatitis', 'dizziness postural', 'priapism', 'hypotension orthostatic symptomatic', 'paraesthesia', 'reaction gastrointestinal', 'syncope', 'arthralgia', 'ejaculation delayed', 'skin exfoliation', 'palpitations', 'hyperhidrosis', 'chills', 'headache', 'angiopathy', 'dizzy spells', 'pruritus', 'dizziness aggravated', 'retrograde ejaculation', 'vertigo', 'visual impairment', 'nasal congestion', 'hypertension', 'shock', 'stevens-johnson syndrome', 'epistaxis', 'diarrhoea', 'pain', 'abnormal ejaculation', 'discomfort', 'mediastinal disorder', 'vision blurred', 'neck pain', 'disorder sight', 'lightheadedness', 'rhinorrhoea', 'pharyngitis', 'influenza like illness', 'lung disorder', 'arthritis', 'influenza-like symptoms', 'musculoskeletal discomfort', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'constipation', 'arrhythmia', 'fatigue', 'libido decreased', 'rhinitis', 'miosis', 'cough increased', 'hypersensitivity', 'dysuria', 'ill-defined disorder', 'vomiting', 'tooth disorder', 'disturbance in sexual arousal', 'body temperature increased', 'blood pressure systolic decreased', 'cardiac disorder', 'asthenia', 'ejaculation failure', 'common cold', 'nausea', 'seasonal allergy', 'dyspepsia', 'erythema multiforme', 'sinus congestion', 'angioedema', 'amblyopia', 'loss of consciousness', 'atrial fibrillation', 'blood pressure diastolic decreased', 'dyspnoea', 'dizziness', 'congenital genitourinary abnormality', 'urticaria', 'breast disorder', 'abdominal pain', 'insomnia', 'malnutrition', 'tachycardia', 'sweating', 'influenza', 'nervous system disorder', 'dermatitis exfoliative', 'sinusitis', 'ejaculation disorder', 'feeling abnormal', 'rash', 'connective tissue disorder', 'infection', 'oedema peripheral', 'chest pain', 'injury', 'fever chills', 'cataract', 'orthostatic hypotension', 'urinary tract infection', 'erectile dysfunction', 'malaise', 'hypertonia', 'intraoperative floppy iris syndrome', 'back pain', 'drug interaction', 'nasopharyngitis', 'accidental injury', 'infestation nos', 'floppy iris syndrome', 'infestation', 'rhinitis seasonal']",118
List all side effects of lactate,reverse,lactate,"['erythema', 'eczema', 'rash', 'skin disorder', 'localized exfoliation', 'pain', 'ichthyosis acquired', 'ichthyosis', 'skin hyperpigmentation', 'skin exfoliation', 'petechiae', 'stinging', 'dermatitis']",13
What are the side effects of propantheline?,reverse,propantheline,"['confusional state', 'vomiting', 'somnolence', 'anaphylactic shock', 'sweating decreased', 'asthenia', 'tension', 'vision blurred', 'nausea', 'cycloplegia', 'dermatitis', 'feeling abnormal', 'dry mouth', 'rash', 'salivary hypersecretion', 'abdominal distension', 'accommodation disorder', 'palpitations', 'drowsiness', 'salivation', 'headache', 'dysphagia', 'dizziness', 'mydriasis', 'erectile dysfunction', 'heat stroke', 'urticaria', 'thirst', 'anhidrosis', 'constipation', 'nervousness', 'dermatitis atopic', 'flushing', 'hypohidrosis', 'hypersensitivity', 'insomnia', 'urinary hesitation', 'tachycardia', 'bloated feeling']",39
List all side effects of forteo,reverse,forteo,"['myalgia', 'gastrointestinal disorder', 'cough', 'dermatitis', 'sciatica', 'hyperuricaemia', 'hypercalciuria', 'syncope', 'arthralgia', 'renal failure', 'weight increased', 'contusion', 'palpitations', 'hyperhidrosis', 'micturition urgency', 'osteosarcoma metastatic', 'headache', 'angiopathy', 'pain in extremity', 'pruritus', 'vertigo', 'gout', 'hypertension', 'oedema', 'shock', 'anaemia', 'gastritis', 'diarrhoea', 'pain', 'anaphylactic shock', 'mediastinal disorder', 'gastrooesophageal reflux disease', 'neck pain', 'herpes zoster', 'anxiety', 'pharyngitis', 'urinary incontinence', 'depression', 'polyuria', 'musculoskeletal discomfort', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'angina pectoris', 'haemoglobin', 'pollakiuria', 'bone neoplasm', 'constipation', 'fatigue', 'hypercholesterolaemia', 'rhinitis', 'injection site haemorrhage', 'cough increased', 'sweating increased', 'hypersensitivity', 'vomiting', 'tooth disorder', 'emphysema', 'pneumonia', 'bone disorder', 'osteosarcoma', 'cardiac disorder', 'asthenia', 'cramp muscle', 'muscle spasms', 'urolithiasis', 'nausea', 'injection site reaction', 'blood uric acid increased', 'dyspepsia', 'fatal outcomes', 'angioedema', 'loss of consciousness', 'orofacial oedema', 'nephrolithiasis', 'urethral disorder', 'dyspnoea', 'dizziness', 'urticaria', 'cramps of lower extremities', 'cardiac murmur', 'haemorrhage', 'ear and labyrinth disorders', 'urine output increased', 'face oedema', 'acute dyspnea', 'insomnia', 'low back pain', 'malnutrition', 'tachycardia', 'sweating', 'injection site erythema', 'injection site pain', 'mental disorder', 'blood and lymphatic system disorders', 'nervous system disorder', 'haemorrhoids', 'rash', 'connective tissue disorder', 'swelling', 'chest pain', 'erythema', 'calculus urinary', 'urinary tract disorder', 'generalized urticaria', 'back pain', 'hiatus hernia', 'drug hypersensitivity', 'hypercalcaemia']",109
